id,engine_address,rri,from_state_version,babylon_resource_address
1,\x01,xrd_rr1qy5wfsfh,1,babylon_resource_address
2,\x0356e13087fcd28f95745ce474d12efa8538426c32bcce2706f723,veri_rr1qdtwzvy8lnfgl9t5tnj8f5fwl2znssnvx27vufcx7u3slv0gce,4044780,resource_rdx1tkn0ynd86tpuuzj0ftk3669fzp7jakruxvu6csta2kn858fxvtfxdz
3,\x03dfdea5c7ee58f0498784539d487d9341d1a6895c20e42192b668,bee_rr1q00aafw8aev0qjv8s3fe6jrajdqarf5ftsswggvjke5qv7rwnd,4406432,resource_rdx1t40rxaxrnetx2wgyze9yhngwd82n3588qv088lwdgst8rqha7jzhhx
4,\x03263cfb5e6074ff106508040bfc234794054c940cabd44e91b3c2,dgc_rr1qvnre767vp607yr9pqzqhlprg72q2ny5pj4agn53k0pqy6huxw,4891093,resource_rdx1t4qfgjm35dkwdrpzl3d8pc053uw9v4pj5wfek0ffuzsp73evye6wu6
5,\x03ea9666095bc707161ad38637e3018bc0e492036a53af01523218,rct_rr1q04fvesft0rsw9s66wrr0ccp30qwfysrdff67q2jxgvqxdcwfz,6315851,resource_rdx1tkeapuxsrc2j46v79el5vs9x3gwv00x3ynxsne36vx8ccpmcf4hgm6
6,\x03a0076abeb60969534a60988cd9205de445d566d83f2030afd875,foton_rr1qwsqw647kcykj562vzvgekfqthjyt4txmqljqv90mp6s74glca,6319626,resource_rdx1t4km4k306ul40s3zr8zwwrm25xfmx7w8ytjvdwqh0u3kkch0eph9rn
7,\x031f276be93c5b405281fcec9c124720e335643383c4d6678d7088,gnrd_rr1qv0jw6lf83d5q55plnkfcyj8yr3n2epns0zdveudwzyqtm749w,6329631,resource_rdx1tkf56rwzta4qemw5vrrwgf5xlkvdg5huxp26zsfrt6mm3x5frnvzeh
8,\x03ca76b8c6d66d17191af24c7a21f527a33c7cf6573deb014558d3,raddoge_rr1q098dwxx6ek3wxg67fx85g04y73ncl8k2u77kq29trfsvghty8,7467459,resource_rdx1t400grzp9kkngyadyw3vfljac6qw8l2cwh6j6dw8g6jdlrfpc6zk8z
9,\x03ea0292d99a123fef669cd0edbe2c43431d9e5863b2482d789398,71141105_rr1q04q9ykengfrlmmxnngwm03vgdp3m8jcvweysttcjwvqf9vzfh,9053929,resource_rdx1t5mf5a4c6qkmgrctt24yzxgu3vf0an9n8qkegppx02qz8g30q2qn7l
10,\x03dc7067df8b044b43fff6434b077e617dc7bda54ca0ea138cbd08,71141106_rr1q0w8qe7l3vzyksll7ep5kpm7v97u00d9fjsw5yuvh5yqkgw837,9059514,resource_rdx1t5a903477qvrpukvgz0y9llt8w5htlyue6wgaglyn545r2ulevpxns
