Public Key at Genesis,Olympia Address,Name,Babylon Address,Stake at migration time
03f5bbbde7ff5218c3a698d26c6b0bbd8cf13bda824a6a0db6b7370ac0d0c1ff50,rv1q06mh008lafp3saxnrfxc6cthkx0zw76sf9x5rdkkums4sxsc8l4qjuczrq,🥇 XIDAR,validator_rdx1s0g5uuw3a7ad7akueetzq5lpejzp9uw5glv2qnflvymgendvepgduj,"115,270,039.27"
02edfa8d463eb13a4f9221bd89b743e068bb718cdf8000bc983774943155d5b4dd,rv1qtkl4r2x86cn5nujyx7cnd6rup5tkuvvm7qqp0ycxa6fgv246k6d6nrq0kz,🎠 Forbole,validator_rdx1swkmn6yvrqjzpaytvug5fp0gzfy9zdzq7j7nlxe8wgjpg76vdcma8p,"103,017,945.04"
0289ddb61551c3c9fb24e6925c96b9860535b9dfac15ba5927c80b7a7ff1c58b2c,rv1q2yamds428pun7eyu6f9e94esczntwwl4s2m5kf8eq9h5ll3ck9jc0537gm,Jazzer 🌍 DefiPlaza,validator_rdx1s0lz5v68gtqwswu7lrx9yrjte4ts0l2saphmplsz68nsv2aux0xvfq,"100,830,283.57"
03fc298f428f6b9171878824b515720e8331ec70de8c7da0d5bdd1238ba87105e6,rv1q07znr6z3a4ezuv83qjt29tjp6pnrmrsm6x8mgx4hhgj8zagwyz7v4crd6d,🔒✅ TopRadixNode | Impahla DAO official partner,validator_rdx1svvnmmgdr6sl7llxc8sdu32ys7tn8v6k8quh7e6m6ec83fr3pf6d04,"100,650,317.56"
029eb3412ed4d0b1d4e461fd60cc58fbbbb00e3f9ef6e8d81b71c74a1076af6984,rv1q20txsfw6ngtr48yv87kpnzclwamqr3lnmmw3kqmw8r55yrk4a5cgpc4ce2,🔥 RADNODE,validator_rdx1sw5zkx2h6hp6k0js6dqaaxpz4580awncmm0rlzv7ufcf97cukjegy8,"99,121,750.80"
03809894317f934391faccb2e4b844e100dd1db9985b68b021f0e0cd8170c3ecdb,rv1qwqf39p307f58y06ejewfwzyuyqd68denpdk3vpp7rsvmqtsc0kdkhq64gc,💲 Radical Staking 💲,validator_rdx1sdzyh7reza3k7y9cyu93ghnak2n89uhugwc072kxrl7unsxgsacx8j,"96,571,630.41"
02f9e1a927503620de087537c44582366624b877091251cbb4c582ab3f58ed1bce,rv1qtu7r2f82qmzphsgw5mug3vzxenzfwrhpyf9rja5ckp2k06ca5duu63guaa,🐱 Ocinode,validator_rdx1s0quzpxcnvh2h7ua2rq6ds0nka3z05kfpz3eventwpamve22uxjdxj,"91,169,249.65"
02423584aa53e0e2202dfca832126c08631a4e108e3fffa5b111773668dd9b3d86,rv1qfprtp9220swygpdlj5ryynvpp335nss3clllfd3z9mnv6xanv7cv7jx6vs,Caesar Node - 9% fixed,validator_rdx1s08twr4tpfkxy5sy5e4yaz38uhgdcu3gjyzuexaheqq6mqxsjx7440,"86,143,265.11"
02fdf0847ea8c3de236122460a60043f459b1ce5517abc88e632bae5323dcd4750,rv1qt7lppr74rpaugmpyfrq5cqy8azek88929atez8xx2aw2v3ae4r4qx6dya4,BCW Technologies,validator_rdx1sv2rav2zqvufxs9dk5yu92t00ncrcw3dfu64pxxz29vvq3tj4fem2p,"82,916,620.03"
02d5b0b8b2a759479f2a4fa80504d793ebba3bb91b699ea5036b2dd0f4c68b1ee3,rv1qt2mpw9j5av508e2f75q2pxhj04m5waerd5eafgrdvkapaxx3v0wxt36584,Supreme Stake,validator_rdx1svug50cdlalm6plazajrmntf209j5azf57xeukuhx2hw7e7ut5mmz8,"78,692,031.12"
028c5249e7a7d07076cefdb1253326732eaea293be80b4addac1465ba262a73c43,rv1q2x9yj085lg8qakwlkcj2vexwvh2ag5nh6qtftw6c9r9hgnz5u7yxq0n2ar,Cobra Stakes,validator_rdx1swq3mn0u9qf68j6g3nugw3udakecggfgpu9e4yphe2rcqc32aavw9t,"74,008,595.55"
03a4814ed3209f9abe69468a4a522364507a3b41c52c44cfdac58762101fab307d,rv1qwjgznknyz0e40nfg69y553rv3g85w6pc5kyfn76ckrkyyql4vc863xcfut,✔️RadixStake,validator_rdx1svlpfx0kxp5yk7h8dqrd8uzqtm7dkd0mlmerq6xsy3rng84d4wqnmv,"70,425,223.49"
03ebca09cb425300598379cc0de981dc50e35ebc0397209a81afb2e7edec3ee828,rv1q04u5zwtgffsqkvr08xqm6vpm3gwxh4uqwtjpx5p47ew0m0v8m5zs3m3jed,RadixPool,validator_rdx1sw5va0gazh39jypat3t55vjskc90v93c558ef9c6pjkrctx8quzh6d,"66,899,761.47"
02c9c5e20a5dfa0ed5a056cb427ff7e037b87a8651333ec6fcbebd43852dbcac38,rv1qtyutcs2thaqa4dq2m95yllhuqmms75x2yena3huh6758pfdhjkrsrvqvu3,ETHEREALDAO,validator_rdx1s0cdlvk5wpgklxnkap05jvgdskpa54yyfu232tfu5s65n7ya6mxhlg,"64,928,412.93"
029327a91cef16ab3d2c34a6887bccfa465da476f3372d598952ace07b0e71e959,rv1q2fj02guaut2k0fvxjngs77vlfr9mfrk7vmj6kvf22kwq7cww854jgjkhvf,sky-wave1,validator_rdx1sdxknlqv5cj55uj0e9dqc9aszy552hvsgqs5jaln4nzx9fvr92r87d,"62,142,789.46"
0251f2e00d3e0746a6954f6ffb38b90999bffde4673136b16f22d6f59663db2111,rv1qfgl9cqd8cr5df54fahlkw9epxvmll0yvucndvt0ytt0t9nrmvs3zqeu75q,sky-wave2,validator_rdx1svenyxdrq8s348pmfjj6lk7d43l32e2rsh47q6qzx5a0gxze3m8q5h,"62,001,012.63"
0315f9283e6835377ecc7d31c0ea8ae3afb88c4aa92a3caa48878c2857900ccf7b,rv1qv2lj2p7dq6nwlkv05cup652uwhm3rz24y4re2jgs7xzs4uspn8hkrc7yh8,Astrolescent,validator_rdx1sw54cuswwzlcgw2zh3ax93pddnsm78qwwhmtvz650q84yyckzkh7nk,"61,430,483.70"
03d8778d2887da688ad048b83e6da9a223c81cdd2c0964c52dcb1631d29efa07b9,rv1q0v80rfgsldx3zksfzurumdf5g3us8xa9sykf3fdevtrr557lgrmjv2cft5,StakeSafe Amsterdam,validator_rdx1s066xuq885l0mttgmx4ptflte6fepkt0c06mqnqtdgajj4mcwh70q4,"60,017,896.23"
02f71520746dae8dca5bb9a75893b7d12854d266d0191356b641dfb5f7a94b225e,rv1qtm32gr5dkhgmjjmhxn43yah6y59f5nx6qv3x44kg80mtaaffv39u9tylpu,Staatenlos Node 🌍,validator_rdx1svpqafv4te3qtfhux5yxv2vyv95mp866dp9xpe28v0pvvwzhrk4vyz,"58,447,302.49"
02e51133875afa3d6ffc76802fa794dce400e60ec4a0ff749df90d544b35712a67,rv1qtj3zvu8ttar6mluw6qzlfu5mnjqpeswcjs07ayalyx4gje4wy4xwq85hhs,🏛️ Delphinode 🔥,validator_rdx1svkch0tjam57zrs72hu7gc2z93vaq5raqsg0z3vwqz6v46mc7rxtuz,"58,345,649.56"
0284914a7f213731c93762ad7cb1b110334d1b7e2f21e5160c48be02ca2e67b754,rv1q2zfzjnlyymnrjfhv2khevd3zqe56xm79us729svfzlq9j3wv7m4gge88rn,Faucet,validator_rdx1svr8rj5vsgpdlv5v39yq4zc9ummsgjqlsrrnmd09hwh0uwuhgg2ta7,"56,692,532.45"
020d38e73f6ca31b34a7bf74eb4916adbde168db7b59edba63b65369cb00832fce,rv1qgxn3eeldj33kd98ha6wkjgk4k77z6xm0dv7mwnrkefknjcqsvhuu30c6hh,Radix Foundation ap-southeast-2 node0 mainnet,validator_rdx1sdcmd3ymwzvswgyva8lpknqrzuzzmmkac9my4auk29j5feumfh77fs,"56,681,164.66"
02546d4406ac9bd348f1b59ca21179bb19be686a37ff44603ac147d9e3634c1097,rv1qf2x63qx4jdaxj83kkw2yytehvvmu6r2xll5gcp6c9rancmrfsgfwttnczx,Radix Foundation eu-west-1 node0 mainnet,validator_rdx1sd5368vqdmjk0y2w7ymdts02cz9c52858gpyny56xdvzuheepdeyy0,"56,676,674.60"
038639dc49e14a94448045a3c595996282d8419eb9ae949dfb84b7bc48ba3d4fee,rv1qwrrnhzfu99fg3yqgk3ut9vev2pdssv7hxhff80msjmmcj968487uc0c0nc,Radix Foundation ap-south-1 node0 mainnet,validator_rdx1sw5rrhkxs65kl9xcxu7t9yu3k8ptscjwamum4phclk297j6r28g8kd,"56,675,527.14"
03d13db98f4ef01f670078a694f8821afc843861afa1d28610411839ffd45b0db6,rv1q0gnmwv0fmcp7ecq0znff7yzrt7ggwrp47sa9pssgyvrnl75tvxmvke8uxe,Radix Foundation us-east-1 node0 mainnet,validator_rdx1sd4eq4vvnrmtxy0l4wxaykugwjmyflnnkn4sz3p9jv79ac2sv5sh88,"56,669,334.19"
02556731181d8bd3bdf83c50178294ae67ee806f4d705f12f3a832e731d844b387,rv1qf2kwvgcrk9a800c83gp0q554en7aqr0f4c97yhn4qewwvwcgjecw79h7va,radvoter,validator_rdx1swtv0s6ryf8rdce5zkml450ch23rzww9ajquz3p4lr3e87asq5sa94,"56,186,924.74"
0381c001e4c3b1c492d764c64362e9cce7a1ed447b47bc6c91f99de540e127ae5f,rv1qwquqq0ycwcufykhvnryxchfenn6rm2y0drmcmy3lxw72s8py7h97w53gdx,Investment DAO,validator_rdx1swh0w4fyck29xfpq3e422jlvgmltrl4g5mh3l3j99s3lf4gz4tywk5,"54,135,538.10"
035efd3e59914cfe06c1d25a3cb66c3e16a231a9511a6dd3a55973dd45617971ae,rv1qd0060jej9x0upkp6fdrednv8ct2yvdf2ydxm5a9t9ea63tp09c6u0ev6t8,🧛 ‍RadixStaker 🧛‍ - Stake the vampire!,validator_rdx1s0u9v6a4n2q7cvjkmgq0wnl8gml8c3purzdqg2cwdah2l4g086xzw4,"53,039,263.67"
022deec3bf6677a23f5d84cce59c6833e8867cac10fed9da1767571e1206dd8c54,rv1qgk7asalvem6y06asnxwt8rgx05gvl9vzrldnkshvat3uysxmkx9gmkv7y2,ITS Australia,validator_rdx1sv559zk2z927wmc9464kypyjltjrhelcmrx8486x37sv6xartj5x8h,"51,708,107.26"
03014685235e6a5fc6ed10ba34af70066401262d3b4d31994b1370ffcb0341cfc6,rv1qvq5dpfrte49l3hdzzarftmsqejqzf3d8dxnrx2tzdc0ljcrg88uvnlvpau,🇳🇴 StakeNordic.com,validator_rdx1swffjvsu78ej866pnd89yhv5ragthk67whp68fyw9eudt4fsxjdua6,"50,416,161.99"
0373460fe38e5acfa6480474b1efa14727bc8f9ee98aa14e6ddbbaf911cca6d789,rv1qde5vrlr3edvlfjgq36trmapgunmeru7ax92znndmwa0jywv5mtcj69d0yg,Luganodes,validator_rdx1s0fsq205yuxukmpdrcaxqueq3phzknpvwahkskjvz69atk2c08f07d,"49,758,534.53"
024d65bac02f76dbebc7c1924989751679d52ed73ce635e2415f924fbffbe1c71e,rv1qfxktwkq9amdh678cxfynzt4zeua2tkh8nnrtcjpt7fyl0lmu8r3urllukm,🚀 Florian Pieper Staking,validator_rdx1sdcheqrngr92u8mkd7pvu57grys54q3mkl4cvcc7nj92kk3n56up6s,"48,024,951.77"
03436a76c9938801b7684c7a153658233a9e019dccc92e6d2055eeb5658a97f143,rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf,➕radix.plus➕,validator_rdx1sdh43pkyltan8qucr0xh928mdkz3fgyeehajnqxxnhhz9ux8gp74k0,"47,394,956.61"
021da3d816192e83330c0beae4c20fb7b5061ac06444c4d3c3c3076e09bfe70bd2,rv1qgw68kqkryhgxvcvp04wfss0k76svxkqv3zvf57rcvrkuzdluu9ay4snzxc,🇨🇭 RadixDLT Staking,validator_rdx1svm98ppmxzft82lykaeudwp3z562dlqk692ws5us5a8lr78ux3v8kr,"46,750,050.66"
03fc52f8604ae97362910e87a827d6b388d9802a8a9f35dfd2efacbb303b30f4cb,rv1q07997rqft5hxc53p6r6sf7kkwydnqp2320nth7ja7ktkvpmxr6vkhu48se,Community Council Node,validator_rdx1svheuuvqlmp4l2mhx99m7xldk8tk2lu8kfjgdvxaes9xevpuww63se,"46,631,974.87"
034c8a8fdcf83905b7907aac7ca2d99a5d69fd86856fb51279d86969889643aea3,rv1qdxg4r7ulqustdus02k8egkenfwknlvxs4hm2ynemp5knzykgwh2xfa53at,StakeSafe Rotterdam,validator_rdx1s048k34ctk3m57gumema2e5jmhfxhdryyr5hq42xa9q59pvn8lezg8,"44,245,502.34"
