olympia_gateway_id,olympia_address,babylon_address,first_seen_at_olympia_state_version,supply_fixed,initial_babylon_name,initial_babylon_symbol,initial_babylon_description,initial_babylon_supply
1,xrd_rr1qy5wfsfh,"",1,f,Radix,xrd,"The Radix Public Network's native token, used to pay the network's required transaction fees and to secure the network through staking to its validator nodes.",12660388339714584000000000000
2,veri_rr1qdtwzvy8lnfgl9t5tnj8f5fwl2znssnvx27vufcx7u3slv0gce,"",4044780,t,Verify,veri,A token sent along with address verification for Instapass,10000000000000000000000000000
3,bee_rr1q00aafw8aev0qjv8s3fe6jrajdqarf5ftsswggvjke5qv7rwnd,"",4406432,t,Bees,bee,Bees!,10000000000000000000000000000
4,dgc_rr1qvnre767vp607yr9pqzqhlprg72q2ny5pj4agn53k0pqy6huxw,"",4891093,t,Doge³,dgc,Doge³ Cerby - Doge but on roïds,8000000000000000000000000000
5,rct_rr1q04fvesft0rsw9s66wrr0ccp30qwfysrdff67q2jxgvqxdcwfz,"",6315851,f,Radix Community Token,rct,A Radix Community Token used to reward community contributions to the Radix Public Network Ecosystem,1000000000000000000000000
6,foton_rr1qwsqw647kcykj562vzvgekfqthjyt4txmqljqv90mp6s74glca,"",6319626,t,Foton,foton,The official currency of Nerds,1000000000000000000000000000
7,gnrd_rr1qv0jw6lf83d5q55plnkfcyj8yr3n2epns0zdveudwzyqtm749w,"",6329631,t,Genesis Nerds,gnrd,First collection of unique avatars on the Radix DLT,10000000000000000000000
8,raddoge_rr1q098dwxx6ek3wxg67fx85g04y73ncl8k2u77kq29trfsvghty8,"",7467459,t,RADDOGE,raddoge,RAD: When awesome and cool just aren't enough to descibe something (source: UrbanDictionary.com),24000000000000000000000000000
9,71141105_rr1q04q9ykengfrlmmxnngwm03vgdp3m8jcvweysttcjwvqf9vzfh,"",9053929,t,71141105,71141105,55,20000000000000000000000
10,71141106_rr1q0w8qe7l3vzyksll7ep5kpm7v97u00d9fjsw5yuvh5yqkgw837,"",9059514,t,71141106,71141106,76,200000000000000000000000
11,stakev_rr1qdkq2ek3qpvpmmlw3sg5yc2ade7v9h8rlju7tk39mjms4ex38f,"",9061077,t,StakeV,stakev,Verification Coin for Radix Stake Tracker,20000000000000000000000000
12,stake_rr1q0ak4j9dgn2qh35jhhua7ycxww8wvaemtdp6epwa4t5sfsqc8m,"",9061659,t,Stake,stake,Stake Token for Radix Stake Tracker,200000000000000000000000000
13,gold_rr1qwle896k6zvj8vyj39jgkv2pps7wk73f6x2m29c6fdas9kv6f4,"",9901982,t,Radix Gold,gold,The first golden token ever. I promise.,1000000000000000000000000
14,torah_rr1qwzhpzydclm2fwpzd3aneyygt5k9v3ppjdvadck6u59qs7u98q,"",10927057,t,Torah Coin,torah,Profit up above and down here. Learn torah and earn Torah coin,613000000000000000000000000
15,floop_rr1q0p0hzap6ckxqdk6khesyft62w34e0vdd06msn9snhfqknl370,"",11277502,t,Floop,floop,Flippity floppity floop,1000000000000000000000
16,caviar_rr1qvnxng85y762xs3fklvxmequaww8k0nhraqv7nqjvmxs4ahu3d,"",13125662,t,CaviarNine,caviar,CaviarNine supports Radix,999999998999999960261328896
17,sky_rr1qdrdalrm4pt8ue83u4558j0msu3a2zl6m2eye8u0ad4sq06zak,"",14587025,t,SKY,sky,Sky and Space,1000000000000000000000000
18,wave_rr1qvp5n65tw8eck3vd7n656vyncs289rx80arksf7wjxlsxxs495,"",14591926,f,WAVE,wave,Travel currency,100000000000000000000000000
19,radical_rr1q0ypdhs98kqkwx4qj04zevxeerh5x6wpuralw9h77fcqp7tq0f,"",16651398,t,Rad Token,radical,Circa 1980,1980000000000000000000
20,estake_rr1q0qqcyejf6cnz6w369s63pcmphs0wp38znmwj5kaqjcshu8e5l,"",21878890,t,EasyStake,estake,"The token of the easy, secure and reliable staking services at website www.easystake.net",100000000000000000000000000
21,gelt_rr1qvl9earq7jk2lw0lkd89rnetqvkmdsv2h2axz6p5jr4s5yh644,"",31991015,t,Throne Gelt,gelt,For the Emperor,1000000000000000000000000000
22,rrc_rr1qvd98f04877vfxamn9f94pg9krtys8qqxf2scn2xz43sja6qfk,"",32025951,t,RRCoin,rrc,An Byzantine currency,1000000000000000000000000000
23,rr_rr1qw99jshzrakjyxccm2fcq7m9xhpjh0zn325lmhwutf9sk9cq9w,"",32026661,t,RRCoin,rr,Information about this token can be found in the token url,1000000000000000000000000000
24,hpyron_rr1qdukq6q534plnen70k95f80q45cktg0mhmzrzpfyz8jqmgqqqe,"",32027203,t,Hyperpyron,hpyron,A Byzantine token,1000000000000000000000000000
25,sarscov2_rr1q0kpqeff70cf9rtfl5hs25nu8j0srvegpcxtwm5d7z3slzkn8w,"",32028646,t,Coronacoin,sarscov2,https://en.wikipedia.org/wiki/Severe_acute_respiratory_syndrome_coronavirus_2,1000000000000000000000000000
26,xid_rr1q0fxukklnd7x32x6t83rkwh4pyhj9jt6h8a0ys278swqkqssql,"",33981229,f,XIDAR,xid,Official Xidar.io token,
27,xidar_rr1qv6zz7l93a6d4pqf43jfg5vtwrvktn78ykw2fu6ce4nspr4jc8,"",33991210,t,XIDAR,xidar,Official Xidar.io token,10000000000000000000000000
28,tst_rr1qwna208vdyj5s2w58x3ery23ufmq6wfq579637ecue8sdkn8e7,"",34193090,t,Test,tst,My new token,10000000000000000000
29,nen_rr1qduu43cf7d0uha6gf52jru2v7xjztusz4ynurp5qguxsghutwe,"",34194746,t,Nenette,nen,Token de nenette,1000000000000000000000000
30,shk_rr1qv5j5eexazg9cya5zsf6rmplnzqrmt320zkvj4w386tqg5gy4k,"",34250390,t,Sheiky,shk,Sheiky's token,10000000000000000000
31,enk_rr1q0rc8munm66swkeysycj76epfm9dvtzfjv9kmh792zpqdxku5q,"",34262189,t,Enky,enk,Enky's token,10000000000000000000000000000
32,eln_rr1qwsjykn8lnsl2xv4tpjr2vgh9qqrzfuv6amsx5wp5ypq0dhh79,"",34263180,t,Elon,eln,Elon's token,10000000000000000000000000000
33,ced_rr1qwmcqxc32nqglp020lptx7t8rugnqx2szlsh9lln4h6q9wr49w,"",34267835,t,CEDRIC,ced,My personal token,100000000000000000000000000
34,kya_rr1qvs388wyzsgn6gsnxae635zt8cxh9nual6rda34scx0s3cwsc6,"",34403927,t,KYANITE,kya,Official Kyanite's token,10000000000000000000000000000
35,porn_rr1qvcu3j6hxv37lc86r9k6wasvrgex6ggrp5yjtqutztfsk2zga6,"",34413480,t,PORN,porn,PORN,1000000000000000000000000
36,lmr_rr1qdjdzjhr2lutsu3cec3668ehzkaw4kycxuyr6ft2aadsv5ktht,"",34454076,t,lamro,lmr,My Project Token,10000000000000000000000000
37,rst_rr1qvedjcxw4rjfs8hxvm9475pt0y4v9nz4prqmsrz9d75s9v22jz,"",34485382,t,Radstakes,rst,Official token of the Radstakes validator,1000000000000000000000000
38,nimx_rr1qw333mud76f79ulu3exqmt4dr5whe9flh6ddhmthefes3vuj0m,"",34872947,t,NimbostratusX,nimx,"Casino, Gambling & Gaming token",100000000000000000000000000
39,dix_rr1qwne05jw2a42km0uk3xn5vrueqfrefdk3h06g9n6v4rqx54mwv,"",35396415,t,dix,dix,The next BIG meme coin. Dix was born out of boredom in the Telegram traders channel. As the rad token was already taken we went for the next best thing.,99999999999000000000000000000
40,clown_rr1qvle9l495pa5ftf7u6jy9lfk5q38rmdcpz7nl3463wfq9l75cp,"",35881204,t,RadClowns,clown,Token used in the presale of RadClown NFT.,100000000000000000000
41,elite_rr1qdcxm80vpm80xemzzah5r03nw55cem28raur94q037qs8d7fct,"",35906454,t,1337,elite,We are 1337,1337000000000000000000
42,beer_rr1qd8kkf6m9ffs49z9cwhywyx5uyv85x6355689435lhfs34hhm0,"",38557848,t,Beer,beer,Das flüssige Gold,1000000000000000000000000000
43,rewards_rr1q0z2ysmrshvjajaqsy7r3kh3fthpm3wtp7qkwwd6udmsesq8dw,"",38920436,t,RadixStake Rewards,rewards,Get rewards for staking with RadixStake,1980000000000000000000000000
44,reward_rr1qv7gycn7cvckx72hmkhnw0hssfun7wj003e2mkltjeyqfk3ypj,"",38937266,t,RadixStake Rewards,reward,Get rewards for staking with RadixStake,1980000000000000000000000000
45,xse_rr1qw2j8vccv7qvswjunudae67aj8ev2tku08ry2jaufedsnnvxzu,"",39532289,t,XSEED,xse,Supporting and funding various Radix projects,10000000000000000000000000
46,ascr_rr1q0x0zcj6epqwtesjn6g4knlsrrp6t32mygum96e2yqzs7z8h6u,"",39834088,t,AssistantCrypto,ascr,Trading tools,22000000000000000000000000000
47,key_rr1qdggpyv562slhrul2ghlc9x9psuh6p79vstsp4nhwkxq8vnh2w,"",40096745,f,Key Token,key,Key Token,1000000000000000000000000
48,anon_rr1qd9e6mqd9w3grxfp49w0qg25vudh5qdgvk28qrv7c7ssnwdcfz,"",40379738,t,anonymous,anon,I am nobody,100000000000000000000
49,smk_rr1qd0rlezadc6304qu2qnalst6fkx7526h8hjn73ku42ysljew6r,"",40638754,t,Samuskycoin,smk,A highly intelligent and good-natured token.,5000000000000000000000000000
50,nine_rr1q06dfxnu75x52mpegssf0yq62fwrfr7zfknffzkv704qyxljy4,"",41527330,t,Nine,nine,"",9
51,nft1_rr1qwpndsvq85xv52wphalx5e057mef07wspg2m6ef3496qp9glt4,"",42622053,t,Genesis NFT,nft1,"<svg width=250 height=200><circle cx=""90"" cy=""90"" r=""79"" fill=""#052cc0"" /><path d=""M42,92.7 l15.6,0 l21,29.5 l28.5,-64.4 l30.5,0"" stroke=""#00c389"" fill=""none"" stroke-width=""10"" stroke-linejoin=""round"" /></svg>Radix malorum est cupiditas. CaviarNine",9
52,nft2_rr1qdxwcy2vvw3de5w5f8cgw8h0e9lc7tvkksrz7ym7f5vqvzpujh,"",42623068,t,Genesis NFT,nft2,"<svg height=100 width=100 fill=none stroke=#052cc0><path d=""M20,20a10,9.5,0,1,1,.001,.001m6,15l10-17M98,66a16,17,0,1,1,0,-22""stroke-width=5 /><path d=""M2,45h16l21,29.5l28.5-64.4h30.5""stroke=#00c389 stroke-width=10 stroke-linejoin=round></svg>by CaviarNine",9
53,rsgr_rr1qv4l3uuysfgz5v7qfgmv44ca6dtfpsrfqk9j7xrl2t9qu9h62g,"",43401880,t,RSGenesisRifle,rsgr,"Radical Strikers: Genesis Rifle, one of 1000, first item minted",1000000000000000000000
54,asdfg_rr1qdnrf32dl8690mmw333qqlls3fv692lnku7u95aj4hpq0tmdjg,"",44159906,t,sdadasdasd,asdfg,1234567890abcdefghij1234567890abcdefghij1234567890abcdefghij1234567890abcdefghij1234567890abcdefghij1234567890abcdefghij1234567890abcdefghij1234567890abcdefghij1234567890abcdefghij1234567890abcdefghij1234567890abcdefghij1234567890abcdefghij1234567890abcde,9
55,gsadh_rr1qvxqrlykz4n3yj6khf5ww796m6kceua3vsrkxygav7gs4da20q,"",44169219,t,sdadasdasd,gsadh,1234567890abcdefghij1234567890abcdefghij1234567890abcdefghij1234567890abcdefghij1234567890abcdefghij1234567890abcdefghij1234567890abcdefghij1234567890abcdefghij1234567890abcdefghij1234567890abcdefghij1234567890abcdefghij1234567890abcdefghij1234567890abcde,123000000000000000000
56,nft3_rr1q0c267ltr3a5hs8umz5pmeeeqsxrndesgaf4tjkut9cqeee8j2,"",44493431,t,Genesis NFT,nft3,R0lGODlhHgApAKIAAGpqaoeHhwYGBtnZ2UxMTCgoKKOjo7q6uiH5BAAAAAAALAAAAAAeACkAAAP/KLq8VS3KSWuFNus9HyFAABAPt4DhMQzHYYgfB7Rr3briqBEGXbOtF0CXAfR8q9srECBojEgbjkmyFAK936/FBJQuzKM2aDB4MZTCiKQu49af7+QTanqwXsVjXwE1SXQuEHuEFUNhZVkHdDCEaA1MWDc2RmU5bI8MdVlJLClvmBObKpMHI1h,9
57,nft4_rr1qwgs3pll3gzuvmw3x32ppvctnq0ervhhlq5ve9qksmlqgkkswr,"",44493876,t,Genesis NFT,nft4,R0lGODlhHgAuAKIAAFxcXIuLiwcHB6ysrCsrKwAAAAAAAAAAACH5BAAAAAAALAAAAAAeAC4AAAP/KLpLTgqySem7sep5sXCb1nVNyI2eeaKYJIUXIMujmglAMOxBTz82RW5H5AV+QUJPR1z6ACTRsGg80qDACmFKXc5qFiW16cWCROLxwPk7i5jqp9mUW3a9Kc1spjs6zFlaW3Uza4NtbhYyPlt9OVhtMHVOa5NfZy8MSn08lU5+mHpwTWlWgXp,9
58,nft5_rr1q0f4865adpc2hldk73lxp4sry5vhkeffmux4k49e24vqe2jpz7,"",44494263,t,Genesis NFT,nft5,R0lGODlhIAAnAKIAALm5uZSUlAEBAWtra0JCQhwcHAAAAAAAACH5BAAAAAAALAAAAAAgACcAAAP/KLpa/rCwSWe8rmqG+64PIYYFgX2LIw5i216ooBIBELBDzpoRWg41gDBou40gnwJQyGwGbjueZKMkNodQk/RDs16fxtJW0706n1EkCOg956QPzc/sZsFAXd1zGD3G5QQ6UX1+PWRvLTtiIXBcK2B7K4iNcjl7Q0IikHZqFDRsYAOZSkCKnRM,9
59,oci_rr1qws04shqrz3cdjljdp5kczgv7wd3jxytagk95qlk7ecquzq8e7,"",44633370,t,Ociswap,oci,"Swap, create and earn tokens on Ociswap",100000000000000000000000000
60,konan_rr1q0kmq2jzrnfkzzu6tqpqkz5x3gzzhdse6fyxy3krdj2s9jn03y,"",45738865,t,Konan Token,konan,"For Those Who Love Konan, by Qlause.",100000000000000000000000000
61,shib_rr1qd7csadse6alztkacrj5ywngxm5gpf5fqp4rpkhansrqs2ayyy,"",47016734,t,Shiba Inu,shib,Shiba Inu. On Radix.,1000000000000000000000000000000000
62,pihair_rr1q0vm27d2cs3hgapardt9zx6zuu2ge06tj7ugycatf6zs270xh4,"",49023150,t,Shrewsbury Wedgwood Ridyards hairs,pihair,If you stick your finger through my hair it is never coming out of there.,100000000000000000000000
63,dgulden_rr1qwpy374v8r9mewl0h36w5usk32eugvdgwmtu4ps0u7cspru7py,"",49101445,t,DigiGulden,dgulden,The digital currency to use in your daily life,2550000000000000000000000000000
64,kos_rr1qvjew6f59jyjw7mxr4sfcmay8nnme54s7xpvlely5xssakh7cn,"",51141617,t,Kosmo,kos,Kosmo Consult Belgium,5000000000000000000000000000
65,0_rr1qw998rsperzs76twu90v62y7e3wctxx6533zc40fst8qwzkvzd,"",51579790,t,ZERO,0,🚀,10000000000000000000000000
66,scorp_rr1qw7dxlwpzx6he6y63epva9fa6ry997n8svvh5m2dzkgshv0jh8,"",51610404,t,Abandoned Scorpions,scorp,"Abandoned Scorpion NFT token; represents 1 of 10,000 unique pixelart scorpions",10000000000000000000000
67,shvbasjb_rr1q0unmmwyws93gxknm8qqd9cl3k3lptcct2906lpsxvfqg67pqh,"",51681584,t,LOL,shvbasjb,LOL,100000000000000000000000000
68,rocket_rr1qwxynlnpn48s4q7nfumnr5tzcfsrznctsg8urfjuvdjstspahs,"",51866063,t,🚀,rocket,🚀🚀🚀First Rocket Token🚀🚀🚀,100000000000000000000000000
69,moon_rr1qdqznamcffz3mudq8y5l5tlf0nvfvavn8dfmhjvel40sc859dd,"",51867907,t,🌚🌕🌖🌗🌘🌑🌒🌓🌔,moon,The First Moon Token,100000000000000000000000000
70,hoard_rr1qwcpxywr5ytmha84vxuhpfswr6qpea4d65s3rdxxqucsmfy0mh,"",52735156,t,HOARD,hoard,an accumulation of valuable objects cached for preservation or future use; treasure; hoard,100000000000000000000000000
71,thc_rr1qdxywry7chd7e8y6xd98qseeemazpg9gd0rwvg7vyhts6vc885,"",52786513,t,Tetra,thc,THC powers the Bud World Metaverse,100000000000000000000000000
72,cbda12342_rr1q04ss3psd6n90ql672vq36nfxcspqkrps6ngpd9fwm3qud5c4c,"",54111830,t,CBD TEST,cbda12342,CBD-A,1000000000000000000000000000000
73,prescana12342_rr1qvneak9h4nzscym84xr370e2n6glkmd4qwmal9xjxyzq634u9c,"",54113703,t,PRESCAN,prescana12342,SCAN Token - XRDScan.com,1000000000000000000000000000000
74,prescan_rr1qd4sw2zh9uh6xyvpxzz8u35zqzlx00j0kzucgkxxm4hqyzprt0,"",54117933,t,PRESCAN,prescan,PRESCAN Token - XRDScan.com,1000000000000000000000000000000
75,scan_rr1q0fgr8kcfgfs7s3p7qx6gc57g5t6eu2zmxmyyr9jjp7sve257v,"",54118428,t,SCAN,scan,SCAN Token - XRDScan.com,1000000000000000000000000000000
76,rcreg_rr1qwd6c0n2f3t5kg0uak88xjn6k2unyvxw9t7k2rfpdveqjtvala,"",54984472,t,RCRegister,rcreg,Radix Collection registration token.,99999999999000000000000000000
77,rcgen_rr1q0gdjh7kx352h6uwh76ky6z4yzfntzjkrh6ugm794hes4ppj6z,"",55134738,t,RCGenesis,rcgen,Radix Collection Genesis token. Reward Genesis members who have been there since Radix started,99999999999000000000000000000
78,rcinv_rr1qvxug9l7dcdz6jy78fw2gcdly92gpfkrklya8hpwlkfsag3kp7,"",55136188,t,RCEarlyInvestor,rcinv,Radix Collection Early Investor token. Reward early investors who quickly believed in Radix.,99999999999000000000000000000
79,rchol_rr1qwm44wpw9pc6j2ue9n0pay9rjyawhaj0w3h7s8rd8jvqufxe8f,"",55140813,t,RCHolder,rchol,Radix Collection Holder token. Reward XRD holders.,99999999999000000000000000000
80,rcsta_rr1q0w9rgxv9qeryacslq9w5fkpu3jvt4fedstewekjpuzszl3u8u,"",55141976,t,RCStaker,rcsta,Radix Collection Staker token. Reward XRD stakers.,99999999999000000000000000000
81,rcwha_rr1qdnkecfx09cvsazhfhces7w58mjnmh2f8pq6h9j3e9hs2zts67,"",55142536,t,RCWhale,rcwha,Radix Collection Whale token. Reward XRD whales.,99999999999000000000000000000
82,rccom_rr1qv6tar0uzum274d7r3xfmhmys205lq5xlsw4afrad7kqn30u0r,"",55143133,t,RCCommunity,rccom,Radix Collection Community token. Rewards the most active members of the Radix community.,99999999999000000000000000000
83,rcxid_rr1qwmwzcwncqhllrrfezqklln98fgv3u836shn8jww4gfsjla8s0,"",55146520,t,RCXIDARStaker,rcxid,Radix Collection XIDAR Staker token. Reward XIDAR Stakers.,99999999999000000000000000000
84,rcdog_rr1qwvqeknuqkar44czf4pvxcal82gu4qzt04glufw8cc3qt7nejs,"",55147679,t,RCDogeCube,rcdog,Radix Collection Doge Cube token. Reward Doge Cube holders.,99999999999000000000000000000
85,rcoly_rr1qdac7qsrjdrettxvtlujyn04zthyayfjxv8e6256htdsxj9j6q,"",55151151,t,RCOlympia,rcoly,Radix Collection Olympia token. Rewards investors holding XRD from Olympia.,99999999999000000000000000000
86,rcale_rr1q068yt3fces6pf8vhp92yfgycnj9sg7d8qp6sf5knc4swc7gvj,"",55151707,t,RCAlexandria,rcale,Radix Collection Alexandria token. Rewards investors holding XRD from Alexandria.,99999999999000000000000000000
