id,address,public_key,from_state_version
1,rv1qwrrnhzfu99fg3yqgk3ut9vev2pdssv7hxhff80msjmmcj968487uc0c0nc,\x038639dc49e14a94448045a3c595996282d8419eb9ae949dfb84b7bc48ba3d4fee,1
2,rv1qt3t0tezvfqdyjzkyepmjh3rvp5mu3lfa824rq6kl3j2xlh9ptkq504xyuq,\x02e2b7af226240d248562643b95e236069be47e9e9d5518356fc64a37ee50aec0a,1
3,rv1qwp64k6s05kcl0c86cumezyeh4twzy7eduwz4enf35udhfhfvelkseawyu2,\x0383aadb507d2d8fbf07d639bc8899bd56e113d96f1c2ae6698d38dba6e9667f68,1
4,rv1qfhdl4zcu3tntaa9dpa4gmndcggrw9a97ee485sswstzxx9w7qsrqvp8j2n,\x026edfd458e45735f7a5687b546e6dc2103717a5f67353d21074162318aef02030,1
5,rv1qfyk8r20jpwxjmzkvkkxu247vmffr4dl3vkqj9gsmcpp5f6mxpgxcscwj6m,\x0249638d4f905c696c5665ac6e2abe66d291d5bf8b2c091510de021a275b30506c,1
6,rv1qt22v09sl9ptdujtz8tz3g3dc4m93439jyq6jf2jwf5ea668r2ycvyuv7z5,\x02d4a63cb0f942b6f24b11d628a22dc57658d6259101a9255272699eeb471a8986,1
7,rv1qgxn3eeldj33kd98ha6wkjgk4k77z6xm0dv7mwnrkefknjcqsvhuu30c6hh,\x020d38e73f6ca31b34a7bf74eb4916adbde168db7b59edba63b65369cb00832fce,1
8,rv1qt2zy2cuf3ssx25zspkzg29qzlwf3tcdhud3908y8x5veytgv4ykwh9w0ty,\x02d4222b1c4c61032a82806c2428a017dc98af0dbf1b12bce439a8cc9168654967,1
9,rv1qdakpg9s90sha6z9q7rug43ucdyc82aqw6hlxcfr2t8rrse589se26mf90m,\x037b60a0b02be17ee8450787c4563cc34983aba076aff3612352ce31c334396195,1
10,rv1q0k9hxla6phcamc7laxa0juawg9t9vtspx6ux2s0nal07x8uk5ylzye7lhd,\x03ec5b9bfdd06f8eef1eff4dd7cb9d720ab2b17009b5c32a0f9f7eff18fcb509f1,1
11,rv1qgzea7fs4f9jxj3s55uw98tsvujzef6uuwjxptea4zya2yywkgcm2m772ts,\x02059ef930aa4b234a30a538e29d7067242ca75ce3a460af3da889d5108eb231b5,1
