date,total_users,weekly_new_members,total_messages,dev_weeklyu_new_members,dev_total_messages 
04.09.2023,"23,298",107,"1,387",,
11.09.2023,"23,328",118,"2,041",65,444
18.09.2023,"23,338",152,"1,616",,
25.09.2023,"23,408",197,"1,855",,
02.10.2023,"24,084",834,"5,604",,
09.10.2023,"24,231",274,"2,499",,
16.10.2023,"24,319",197,"1,576",,
23.10.2023,"24,340",130,"1,305",,
30.10.2023,"24,354",123,"1,157",,
06.11.2023,"24,423",172,"1,299",,
13.11.2023,"24,425",149,"1,163",,
20.11.2023,"24,445",167,"1,498",,
27.11.2023,"24,618",348,"1,183",,
04.12.2023,"24,672",226,"1,136",,
11.12.2023,"24,753",264,"1,516",,
18.12.2023,"24,738",147,"1,169",,
25.12.2023,"24,720",145,825,,
01.01.2024,"24,727",143,661,,
08.01.2024,"24,759",128,799,,
15.01.2024,"24,805",227,816,,
22.01.2024,"24,818",157,702,,
