date,new_wallet_downloads_ios_android,cumulative_downloads,tvl,total_stake,xrd_price_vs_comp,weekly_tx_volume
02.10.2023,5031,5031,,,109.45%,
09.10.2023,1649,6680,,,89.24%,
16.10.2023,886,7566,,,75.99%,
23.10.2023,706,8272,,,71.01%,
30.10.2023,726,8998,,,59.33%,
06.11.2023,654,9652,,,40.84%,
13.11.2023,952,10604,,,31.36%,
20.11.2023,742,11346,,,12.78%,
27.11.2023,1043,12389,21.46m,"3,757,320,005",30.11%,"16,519"
04.12.2023,837,13226,20.21m,"3,773,436,945",26.44%,"20,831"
11.12.2023,1768,14994,18.03m,"3,764,249,440",3.56%,"40,218"
18.12.2023,658,15652,15.33m,"3,763,385,534",-24.48%,"20,545"
25.12.2023,788,16440,15.78m,"3,771,065,719",-16.26%,"31,254"
01.01.2024,878,17318,20.03m,"3,784,392,106",-41.46%,"29,536"
08.01.2024,1389,18707,19.32m,"3,792,854,878",-15.06%,"37,412"
15.01.2024,802,19509,21.44m,"3,772,777,200",-40.00%,"42,114"
22.01.2024,,,21.42m,"3,822,576,192",-2.84%,"38,898"
