date,total_downloads,sessions_p_active_device,day_1_retention,avg_retention,total_ratings,average_rating,impressions
02.10.2023,2700,8.35,,,,,8833
09.10.2023,800,5.95,,,,,4821
16.10.2023,417,5.61,,,,,3385
23.10.2023,306,5.58,,,,,1655
30.10.2023,337,4.44,,,,,1913
06.11.2023,312,4.39,,,,,1571
13.11.2023,427,4.11,,,,,2472
20.11.2023,368,4.46,,,,,1733
27.11.2023,554,4.57,,,202,4.70,2770
04.12.2023,432,4.31,,,218,4.90,1769
11.12.2023,425,4.10,,,223,4.90,1688
18.12.2023,269,3.66,,,228,4.90,1109
25.12.2023,361,4.19,,,,,1778
01.01.2023,350,4.39,,,236,4.80,1284
08.01.2024,413,4.50,,,238,4.80,1356
15.01.2024,364,4.85,,,239,4.80,1326
22.01.2024,N/A,N/A,,,241,4.90,N/A
