date,store_listing_acquisitions,daily_active_users,monthly_active_users,installed_audience,monthly_returning_users,total_ratings,average_rating    
02.10.2023,2331,1129,2021,2524,854,,
09.10.2023,849,1015,3098,3123,891,,
16.10.2023,469,930,3965,3619,860,,
23.10.2023,400,844,4520,3885,820,,
30.10.2023,389,857,4738,4149,880,,
06.11.2023,342,831,4509,4461,862,,
13.11.2023,525,1012,4651,4879,937,,
20.11.2023,374,926,4877,5166,874,,
27.11.2023,489,1115,5177,5598,981,205,4.594
04.12.2023,405,1067,5524,5839,1018,211,4.589
11.12.2023,1343,1332,5954,6864,1100,219,4.554
18.12.2023,389,1142,6919,7204,1090,222,4.574
25.12.2023,427,1243,7043,7384,1102,222,4.574
01.01.2024,528,1263,7242,7766,1185,226,4.514
08.01.2024,976,1348,7354,8059,1173,226,4.451
15.01.2024,438,1374,7145,8159,1233,234,4.410
22.01.2024,N/A,N/A,N/A,8262,N/A,236,4.422
