date,total_users,new_users,weekly_active_users,total_messages,dev_total_users,dev_new_users,dev_weekly_active_users,dev_total_messages  
04.09.2023,,729,309,1233,,,,
11.09.2023,,519,418,2599,,,,
18.09.2023,,350,380,2358,,,,
25.09.2023,,897,602,2364,,,,
02.10.2023,,883,1036,10716,,,,
09.10.2023,,494,695,4955,,,,
16.10.2023,,605,619,4340,,,,
23.10.2023,,339,550,3569,,,,
30.10.2023,,428,477,4466,,,,
06.11.2023,,514,680,5789,,,,
13.11.2023,,957,652,4556,,,,
20.11.2023,,319,618,3204,,,,
27.11.2023,19744,417,513,3321,1659,15,43,196
04.12.2023,19803,373,432,3643,1648,7,39,142
11.12.2023,19872,591,702,5035,,,,
18.12.2023,19887,497,537,4382,,,,
25.12.2023,19951,478,654,3696,,,,
01.01.2024,19464,443,469,2104,,,,
08.01.2024,19380,386,489,2548,,,,
15.01.2024,19314,398,603,5520,,,,
22.01.2024,19381,345,412,2585,,,,
