date,views_radixdlt_com,users_radixdlt_com,new_users_radixdlt_com,none_1,views_devs_radixdlt_com,users_devs_radixdlt_com,new_users_devs_radixdlt_com,none_2,docs_page_views,docs_reads,devs_page_views,devs_active_users    
04.09.2023,5269,2302,2035,,353,234,78,,,,,
11.09.2023,11324,2857,2964,,695,420,149,,,,,
18.09.2023,6201,2631,2331,,848,408,135,,,,,
25.09.2023,12526,6225,5672,,1149,545,187,,,,,
02.10.2023,50006,12795,10949,,1176,678,141,,,,,
09.10.2023,25162,8999,7039,,580,352,95,,,,,
16.10.2023,13695,4267,2963,,359,208,57,,,,,
23.10.2023,11965,4093,3076,,722,257,83,,,,,
30.10.2023,9838,3754,3592,,373,244,85,,,,,
06.11.2023,12844,3995,3194,,587,241,103,,,,,
13.11.2023,13077,4944,3928,,353,246,84,,,,,
20.11.2023,15436,4235,3490,,1380,1183,1025,,,,,
27.11.2023,12435,4759,4615,,1939,1695,1531,,,,,
04.12.2023,16353,4721,3990,,1707,1426,1242,,4910,2650,1707,1457
11.12.2023,21686,5792,4668,,1732,1434,1247,,2980,1480,1943,1560
18.12.2023,15616,4770,3828,,"1,339","1,081",946,,2980,1480,1509,1160
25.12.2023,"20,042","7,094",6920,,1197,1027,853,,1620,1370,1319,1088
01.01.2024,19545,6009,5081,,717,516,365,,1910,880,829,579
08.01.2024,21941,9236,8241,,344,227,59,,2420,1050,495,302
15.01.2024,14678,5119,4230,,333,214,52,,3410,1750,456,281
22.01.2024,23874,10837,10786,,352,200,60,,2890,1490,510,269
